"Reference","Value","Qty"
"C1,C2,C3","CL05A105MQ5NNNC","3"
"C4","KR-5R5H104-R","1"
"CON1,CON4,CON5","SM06B-GHS-TB","3"
"D2,D4","PESD3V3L4UG,115","2"
"D3,D5,D9","BAT54J,115","3"
"D6,D7,D8","SML-LXR44GC-TR","3"
"MOS1","DMG2302UKQ-7","1"
"P1,P2","690367292676","2"
"R1","RC0402FR-0710KL","1"
"R2,R3","RT0402BRD0710KL","2"
"R4,R5,R6","RC0402FR-07330RL","3"
"REG1","NCV8161ASN330T1G","1"
"SOM1","SOM RTK","1"
"USB1","201267-0005","1"
