"Reference","Value","Qty"
"C1","GRM188C80G226MEA0D","1"
"C3","CL05A104KA5NNNC","1"
"CON2","CONUFL001-SMD-T","1"
"D1","USBLC6-2SC6","1"
"D2","150060SS75000","1"
"D3,D4,D5","LTST-C191KFKT","3"
"gnd1,NRST1,Vin1","Broche","3"
"P1,P2","690357282676","2"
"R1","RC0402FR-0710KL","1"
"R2,R3,R4,R5","RC0402FR-07120RL","4"
"T1","DMG2302UKQ-7","1"
"W1","Mosaic X5","1"
